"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Sep 26 19:40:10 CST 2021","Sun Sep 26 19:40:10 CST 2021","0","test_case.calculate_module","test_cservermodule","TestServicePage","","","集群目录组移动验证",""
"skipped","Sun Sep 26 19:40:10 CST 2021","Sun Sep 26 19:40:10 CST 2021","0","test_case.calculate_module","test_cservermodule","TestServicePage","","","集群目录新增组功能验证/异常场景",""
"passed","Sun Sep 26 19:40:14 CST 2021","Sun Sep 26 19:40:17 CST 2021","3546","test_case.calculate_module","test_cservermodule","TestServicePage","","","菜单栏功能校验/搜索功能验证/异常场景",""
"passed","Sun Sep 26 19:39:50 CST 2021","Sun Sep 26 19:39:52 CST 2021","1787","test_case.calculate_module","test_cservermodule","TestServicePage","","","云服务器页面入口校验",""
"passed","Sun Sep 26 19:40:10 CST 2021","Sun Sep 26 19:40:14 CST 2021","3660","test_case.calculate_module","test_cservermodule","TestServicePage","","","菜单栏功能校验/搜索功能验证/正常场景",""
"skipped","Sun Sep 26 19:40:10 CST 2021","Sun Sep 26 19:40:10 CST 2021","0","test_case.calculate_module","test_cservermodule","TestServicePage","","","集群目录组名称重命名功能验证/异常场景",""
"skipped","Sun Sep 26 19:40:10 CST 2021","Sun Sep 26 19:40:10 CST 2021","0","test_case.calculate_module","test_cservermodule","TestServicePage","","","集群目录组删除验证",""
"passed","Sun Sep 26 19:40:10 CST 2021","Sun Sep 26 19:40:10 CST 2021","31","test_case.calculate_module","test_cservermodule","TestServicePage","","","菜单栏功能校验/搜索功能/弱提示信息校验",""
"passed","Sun Sep 26 19:39:52 CST 2021","Sun Sep 26 19:39:53 CST 2021","1270","test_case.calculate_module","test_cservermodule","TestServicePage","","","集群目录信息校验",""
"passed","Sun Sep 26 19:40:17 CST 2021","Sun Sep 26 19:40:31 CST 2021","13941","test_case.calculate_module","test_cservermodule","TestServicePage","","","添加云服务器/基本信息页参数校验",""
"skipped","Sun Sep 26 19:40:10 CST 2021","Sun Sep 26 19:40:10 CST 2021","0","test_case.calculate_module","test_cservermodule","TestServicePage","","","集群目录新增组功能验证/正常场景",""
"failed","Sun Sep 26 19:40:01 CST 2021","Sun Sep 26 19:40:10 CST 2021","8951","test_case.calculate_module","test_cservermodule","TestServicePage","","","集群目录服务器信息校验",""
"passed","Sun Sep 26 19:39:53 CST 2021","Sun Sep 26 19:39:54 CST 2021","1118","test_case.calculate_module","test_cservermodule","TestServicePage","","","集群云服务器信息校验",""
"skipped","Sun Sep 26 19:40:10 CST 2021","Sun Sep 26 19:40:10 CST 2021","0","test_case.calculate_module","test_cservermodule","TestServicePage","","","集群目录组名称重命名功能验证/正常场景",""
"passed","Sun Sep 26 19:39:54 CST 2021","Sun Sep 26 19:40:01 CST 2021","6386","test_case.calculate_module","test_cservermodule","TestServicePage","","","集群目录结构信息校验",""
"skipped","Sun Sep 26 19:40:10 CST 2021","Sun Sep 26 19:40:10 CST 2021","0","test_case.calculate_module","test_cservermodule","TestServicePage","","","集群目录组添加云服务器入口验证",""
